Generations,Time,Distance,Route
1000,5,25494.133524706154,https://autarc.github.io/traveling-salesman-problem/#91-89-95-77-19-20-78-33-10-27-56-23-2-48-68-18-87-86-85-75-96-35-66-98-58-37-93-28-50-54-73-38-70-92-82-1-8-64-61-22-5-81-83-71-15-51-74-36-41-100-16-88-11-90-60-62-21-13-69-65-94-79-6-53-80-25-43-40-29-44-31-84-76-57-12-17-72-46-99-47-7-34-42-24-39-55-30-49-4-32-59-52-45-3-26-9-67-14-63-97
1000,4,25744.07506829963,https://autarc.github.io/traveling-salesman-problem/#70-38-99-57-34-29-55-25-65-64-13-3-37-28-4-32-14-72-17-26-9-78-66-52-44-36-85-87-8-86-46-73-92-19-22-24-43-41-53-10-21-62-71-97-18-60-67-74-75-82-63-15-12-20-59-88-2-23-76-77-93-95-6-94-79-61-11-68-83-69-1-90-48-30-81-27-50-56-58-89-31-51-5-98-84-16-45-35-40-42-7-91-80-49-33-47-39-96-100-54
1000,5,26090.40634953601,https://autarc.github.io/traveling-salesman-problem/#38-68-71-87-85-21-75-82-32-12-9-77-23-2-35-61-91-13-97-67-69-8-31-58-57-45-5-34-7-40-42-96-44-84-52-16-99-66-28-54-46-50-10-59-89-100-55-25-74-17-56-73-6-63-15-60-14-86-18-62-64-41-43-24-36-4-78-26-76-94-53-3-30-22-49-20-33-1-39-29-48-80-65-90-11-81-51-83-47-79-27-72-70-19-93-37-95-88-98-92
1000,4,26228.019166367885,https://autarc.github.io/traveling-salesman-problem/#61-5-22-43-29-96-39-76-77-3-66-75-15-63-69-30-80-41-91-65-81-88-89-23-28-6-47-90-71-60-8-86-26-38-72-31-95-59-58-19-49-14-32-18-68-51-64-57-52-94-36-56-79-13-97-67-9-92-46-54-37-50-4-82-21-78-74-20-62-87-44-100-1-83-48-12-10-27-93-70-73-17-33-85-99-98-2-84-35-55-25-24-42-16-53-45-40-7-34-11
1000,5,22845.766024693807,https://autarc.github.io/traveling-salesman-problem/#68-1-18-67-71-8-86-63-13-55-40-25-69-64-57-47-99-6-95-27-16-45-44-2-84-31-36-22-7-91-15-14-85-32-9-70-37-28-59-93-77-46-50-19-38-92-21-82-12-62-60-49-4-87-83-51-26-20-42-43-89-88-66-52-100-35-24-41-61-5-34-11-53-94-97-75-3-79-73-23-98-74-78-72-54-17-56-33-10-76-58-29-39-96-81-30-80-48-65-90
1000,4,26758.79335028235,https://autarc.github.io/traveling-salesman-problem/#89-84-23-2-57-100-58-88-45-79-94-19-56-46-28-72-38-37-40-61-11-36-3-26-53-66-31-73-95-16-35-55-44-52-91-81-51-90-99-49-14-12-87-18-8-39-96-29-22-80-62-68-64-47-59-77-93-98-7-41-34-25-65-1-67-85-86-32-78-9-17-70-48-30-42-24-43-21-82-6-10-74-27-50-71-83-5-33-4-75-20-92-97-60-69-63-15-13-54-76
1000,5,24866.137086361043,https://autarc.github.io/traveling-salesman-problem/#79-57-16-98-95-34-25-67-60-18-1-21-86-91-36-44-45-76-58-88-73-19-82-85-69-83-48-24-55-7-40-2-23-94-75-63-87-12-4-72-70-38-28-46-50-20-35-100-52-30-65-51-90-64-13-27-92-33-17-54-77-6-5-61-43-42-11-99-9-26-78-74-32-49-15-53-59-66-37-56-93-97-71-68-81-80-22-41-96-31-89-84-29-39-8-62-14-47-3-10
10000,48,15636.056229451793,https://autarc.github.io/traveling-salesman-problem/#73-38-54-19-37-6-53-47-36-61-5-30-80-91-3-10-27-92-50-46-56-79-94-98-100-55-43-24-25-96-39-29-84-88-77-28-93-58-89-2-76-59-95-33-32-75-21-82-85-4-78-20-74-26-17-70-72-9-71-68-83-48-41-42-34-22-51-8-60-1-15-86-87-12-14-49-66-31-23-35-44-45-16-52-64-69-13-67-97-63-62-18-90-65-81-7-40-11-57-99
10000,45,17716.849508474992,https://autarc.github.io/traveling-salesman-problem/#27-79-53-94-98-6-33-10-78-32-21-63-15-69-83-80-65-90-67-49-75-57-45-52-42-43-25-24-61-17-38-70-72-74-3-22-41-81-87-14-85-82-12-9-20-26-4-13-5-40-55-100-31-88-84-16-30-48-18-62-86-97-47-64-91-51-68-71-1-60-8-99-95-59-44-29-35-66-77-28-37-19-54-36-11-34-7-39-96-23-2-89-58-76-93-56-46-50-73-92
10000,44,13181.802925068881,https://autarc.github.io/traveling-salesman-problem/#55-40-25-43-24-42-7-34-16-66-58-88-31-52-57-47-64-3-99-53-6-94-98-84-2-89-23-44-35-29-100-45-36-65-81-22-80-48-30-41-5-61-11-91-67-13-21-75-82-85-86-97-62-18-87-14-50-73-54-38-70-72-17-12-90-51-83-68-71-8-60-1-69-15-63-49-4-32-20-74-26-9-78-33-10-79-95-59-92-27-28-77-93-37-19-46-56-76-96-39
